Wed Aug  6 23:01:12 2025    output.prof

         20307161 function calls (20296670 primitive calls) in 75.552 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    342/1    0.001    0.000   75.553   75.553 {built-in method builtins.exec}
        1    0.000    0.000   75.553   75.553 generate_data.py:1(<module>)
        1    0.000    0.000   75.167   75.167 generate_data.py:718(main)
        5    0.005    0.001   65.716   13.143 generate_data.py:442(capture_views)
       50    0.043    0.001   46.681    0.934 generate_data.py:321(get_visible_bbox)
       50    5.922    0.118   46.638    0.933 generate_data.py:249(get_2d_bounding_box)
    87/72    0.002    0.000   28.336    0.394 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/modules/bpy/ops.py:92(__call__)
    87/72    1.113    0.013   28.209    0.392 {built-in method _bpy.ops.call}
  2434900   25.248    0.000   25.567    0.000 generate_data.py:234(is_obscured)
       50    0.000    0.000   17.783    0.356 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/cycles/__init__.py:71(render)
       50    0.000    0.000   17.783    0.356 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/cycles/engine.py:88(render)
       50   17.782    0.356   17.782    0.356 {built-in method _cycles.render}
  2434900   11.548    0.000   14.872    0.000 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/modules/bpy_extras/object_utils.py:223(world_to_camera_view)
        1    0.001    0.001    9.225    9.225 generate_data.py:635(import_obj)
       15    0.000    0.000    9.210    0.614 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/__init__.py:1709(execute)
       15    0.000    0.000    9.210    0.614 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/__init__.py:1712(import_gltf2)
       15    0.000    0.000    9.204    0.614 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/__init__.py:1745(unit_import)
       15    0.000    0.000    9.137    0.609 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/blender/imp/gltf2_blender_gltf.py:15(create)
       15    0.000    0.000    9.137    0.609 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/blender/imp/gltf2_blender_gltf.py:37(_create)
       15    0.001    0.000    9.137    0.609 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/blender/imp/gltf2_blender_scene.py:19(create)
    30/15    0.000    0.000    8.050    0.537 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/blender/imp/gltf2_blender_node.py:20(create_vnode)
